stateabbr,trial_count,site_count,year,diabetes_prevalence,diabetes_low_ci,diabetes_high_ci,population,poverty_rate,trials_per_100k,industry_trial_count,non_industry_trial_count,industry_trials_per_100k,non_industry_trials_per_100k,industry_pct,burden_decile,expected_trials_per_100k,coverage_residual,coverage_residual_z,coverage_quartile
AK,8,9,2023.0,13.9,12.1,15.9,734821,10.487625001219865,1.0887005134583796,7,1,0.9526129492760822,0.13608756418229745,87.5,9.0,6.962171610783969,-5.87347109732559,-1.6990420302667908,Q1_low
AL,462,893,2023.0,12.7,10.9,14.6,5028092,15.722492125943194,9.18837602812359,421,41,8.372957376277125,0.8154186518464658,91.12554112554112,8.0,7.345202459436951,1.8431735686866393,0.5331820503384075,Q4_high
AR,246,394,2023.0,12.2,10.5,14.1,3018669,16.228857632436906,8.149286987079405,222,24,7.354234598096048,0.7950523889833566,90.2439024390244,7.0,6.399333579353706,1.749953407725699,0.5062158886060392,Q3
AZ,527,1159,2023.0,12.9,11.2,14.8,7172282,13.065050808119267,7.347731168406374,471,56,6.566947590738903,0.7807835776674704,89.37381404174573,8.0,7.345202459436951,0.0025287089694225884,0.0007314895655685014,Q2
CA,1346,6378,2023.0,11.0,9.5,12.7,39356104,12.124320246167636,3.4200539768875498,1087,259,2.7619603810377167,0.6580935958498331,80.75780089153047,7.0,6.399333579353706,-2.979279602466156,-0.8618279005086816,Q1_low
CO,457,684,2023.0,9.2,7.8,10.8,5770790,9.553819024642115,7.919193039427877,369,88,6.394271841463647,1.52492119796423,80.74398249452955,3.0,11.210649774421526,-3.291456734993649,-0.9521326045352135,Q1_low
CT,289,387,2023.0,7.4,6.7,8.1,3611317,10.140715932971126,8.0026206505826,241,48,6.673465663634625,1.329154986947975,83.39100346020761,1.0,7.997941357871577,0.004679292711022853,0.0013535973628216516,Q3
DC,125,136,2023.0,8.5,7.3,9.7,670587,15.101881746931532,18.640385214744693,88,37,13.122831191180264,5.517554023564429,70.4,2.0,10.38028970217102,8.260095512573674,2.38943023934707,Q4_high
DE,63,69,2023.0,9.8,8.5,11.2,993635,11.122978097670458,6.340356368284129,60,3,6.0384346364610755,0.30192173182305376,95.23809523809524,5.0,7.927431616977785,-1.5870752486936555,-0.45909948445212584,Q2
FL,1055,5299,2023.0,12.6,11.0,14.2,21634529,12.873944935928622,4.87646391562303,954,101,4.409617607113147,0.4668463085098825,90.42654028436019,8.0,7.345202459436951,-2.468738543813921,-0.7141416852445895,Q1_low
GA,686,1541,2023.0,13.6,11.8,15.4,10722325,13.530059460373929,6.397866134443789,607,79,5.661085632080729,0.7367805023630603,88.48396501457727,9.0,6.962171610783969,-0.5643054763401798,-0.16323885932600488,Q2
HI,191,219,2023.0,9.6,8.4,11.0,1450589,9.609609821890578,13.167065240395452,175,16,12.064065010833529,1.1030002295619228,91.62303664921465,4.0,6.284429797643944,6.882635442751508,1.9909669601614892,Q4_high
IA,230,302,2023.0,10.9,9.3,12.6,3188836,11.108485305433897,7.212663178664566,218,12,6.836350317169024,0.3763128614955426,94.78260869565217,7.0,6.399333579353706,0.81332959931086,0.23527504448237113,Q3
ID,301,376,2023.0,10.7,9.2,12.4,1854109,11.01173363290602,16.234212767426293,300,1,16.180278505740493,0.05393426168580164,99.66777408637874,6.0,9.835423080315556,6.398789687110737,1.8510029999448148,Q4_high
IL,636,1167,2023.0,8.6,7.2,10.0,12757634,11.763222409065586,4.985250399878222,546,90,4.279790437631304,0.7054599622469182,85.84905660377359,2.0,10.38028970217102,-5.395039302292798,-1.5606441876781327,Q1_low
IN,455,892,2023.0,10.2,8.7,11.8,6784403,12.30361800145239,6.706559147503472,410,45,6.043273077970161,0.6632860695333104,90.10989010989012,5.0,7.927431616977785,-1.2208724694743127,-0.3531665696247282,Q2
KS,351,475,2023.0,13.9,12.4,15.5,2935922,11.581155861637013,11.955358487044274,332,19,11.308202329625923,0.647156157418351,94.58689458689459,9.0,6.962171610783969,4.993186876260305,1.4443987596373324,Q4_high
KY,362,581,,,,,4502935,16.11704673650374,8.039201098838868,338,24,7.506215390628556,0.5329857082103117,93.37016574585635,,,,,
LA,440,721,2023.0,14.7,12.8,16.8,4640546,18.654776592546447,9.481642892883725,397,43,8.555027791988271,0.9266151008954551,90.22727272727273,10.0,6.315144068226351,3.166498824657374,0.9159855395105279,Q4_high
MA,500,674,2023.0,9.0,7.7,10.2,6984205,9.9281159170337,7.159010939684617,327,173,4.68199315455374,2.4770177851308772,65.4,3.0,11.210649774421526,-4.0516388347369094,-1.1720334632809672,Q1_low
MD,518,778,2023.0,13.7,12.2,15.5,6161707,9.256502803961341,8.406761308189436,423,95,6.864980759390215,1.5417805487992209,81.66023166023166,9.0,6.962171610783969,1.4445896974054673,0.41788212995546414,Q3
ME,85,111,2023.0,8.0,6.9,9.2,1366949,10.943665595048795,6.2182276002981824,80,5,5.852449506162995,0.3657780941351872,94.11764705882354,1.0,7.997941357871577,-1.7797137575733943,-0.5148247817782047,Q2
MI,472,895,2023.0,10.3,8.7,11.9,10057921,13.13491329111057,4.6928187246648685,406,66,4.036619496215967,0.6561992284489011,86.01694915254237,6.0,9.835423080315556,-5.142604355650687,-1.4876213401751641,Q1_low
MN,358,430,2023.0,9.7,8.3,11.2,5695292,9.262296155444911,6.285893682009632,240,118,4.214006937660089,2.0718867443495435,67.0391061452514,4.0,6.284429797643944,0.0014638843656875622,0.00042346357435663057,Q2
MO,513,883,2023.0,12.7,11.1,14.4,6154422,12.820297552948102,8.335470008393964,449,64,7.295567317288285,1.0399026911056797,87.5243664717349,8.0,7.345202459436951,0.9902675489570125,0.28645857943411845,Q3
MS,183,247,2023.0,17.9,15.6,20.3,2958846,19.19687815143246,6.1848436856801605,176,7,5.9482649654628865,0.23657872021727389,96.17486338797814,10.0,6.315144068226351,-0.13030038254619036,-0.03769250292329246,Q2
MT,182,217,2023.0,8.2,7.1,9.5,1091840,12.411913951666987,16.669109026963657,179,3,16.394343493552167,0.27476553341148885,98.35164835164835,2.0,10.38028970217102,6.288819324792637,1.8191914417425117,Q4_high
NC,773,2077,2023.0,10.0,8.5,11.7,10470214,13.326107839513536,7.382848144269066,671,102,6.408656021739383,0.9741921225296828,86.80465717981889,5.0,7.927431616977785,-0.5445834727087187,-0.15753379795161854,Q2
ND,119,132,2023.0,9.4,8.0,10.9,776874,10.763530000959008,15.317799282766574,118,1,15.189078280390385,0.1287210023761897,99.15966386554622,3.0,11.210649774421526,4.1071495083450476,1.1880912536447596,Q4_high
NE,283,404,2023.0,9.3,7.9,10.7,1958939,10.398441171678073,14.446595835807035,262,21,13.374586957531601,1.0720088782754338,92.57950530035336,3.0,11.210649774421526,3.2359460613855084,0.9360748141714204,Q4_high
NH,98,103,2023.0,8.4,7.2,9.7,1379610,7.325117866625276,7.103456774015846,95,3,6.886004015627606,0.21745275838824016,96.93877551020408,2.0,10.38028970217102,-3.276832928155174,-0.9479023185511067,Q1_low
NJ,437,716,2023.0,8.0,6.8,9.3,9249063,9.681402453796407,4.7248029340918105,411,26,4.443693377372389,0.2811095567194212,94.05034324942791,1.0,7.997941357871577,-3.2731384237797663,-0.946833594774177,Q1_low
NM,173,199,2023.0,12.4,10.7,14.2,2112463,18.283786406923145,8.189492549691995,156,17,7.384744726889891,0.8047478228021036,90.17341040462428,8.0,7.345202459436951,0.8442900902550434,0.2442311071785533,Q3
NV,385,607,2023.0,9.9,8.4,11.4,3104817,12.71182927732838,12.400086703982875,375,10,12.07800652985345,0.32208017412942536,97.40259740259741,5.0,7.927431616977785,4.472655087005091,1.2938224865307384,Q4_high
NY,790,1692,2023.0,8.9,7.6,10.4,19994379,13.60694005374913,3.951110459594669,614,176,3.0708630660647174,0.8802473935299515,77.72151898734177,2.0,10.38028970217102,-6.4291792425763505,-1.8597939058949118,Q1_low
