column,mean,std,min,p25,median,p75,max
trials_per_100k,4.193,15.979,0.0,0.0,0.0,0.936,485.934
coverage_residual,4.193,15.979,0.0,0.0,0.0,0.936,485.934
dist_nearest_trial_km,104.373,289.983,0.0,0.0,44.512,77.378,2093.38
endo_per_100k,1.542,5.576,0.0,0.0,0.0,0.896,107.252
amc_count,0.001,0.039,0.0,0.0,0.0,0.0,2.0
