county_fips,lat,lon,pop,has_trial_site,dist_nearest_trial_km,county_site_count,county_trial_count,pop_total,median_hh_income,gini_index,pct_poverty,pct_nhwhite,pct_nhblack,pct_hispanic,pct_no_vehicle,pct_no_internet,pct_unemployed,pct_uninsured,pct_bachelors_plus,places_access2,places_bphigh,places_chd,places_depression,places_diabetes,places_foodinsecu,places_foodstamp,places_ghlth,places_housinsecu,places_lacktrpt,places_lpa,places_mhlth,places_obesity,places_stroke,endo_count,amc_count,has_ctsa,trials_per_100k,endo_per_100k,burden_decile,coverage_residual
01003,30.537396,-87.761478,231767,True,0.0,22,22,233420.0,71039.0,0.4648,10.04412646731214,82.32413674920744,8.276068888698484,4.802501927855368,1.2345543049712562,8.950243386709543,3.4223287940876475,9.3,32.6,8.8,37.0,5.5,23.9,10.4,14.2,9.1,17.7,11.0,7.5,23.7,16.8,35.0,2.9,3,0,0,9.42507068803016,1.2852369120041127,3,9.42507068803016
01007,33.032236,-87.136826,22293,True,0.0,2,2,22251.0,50669.0,0.4553,19.311491618354232,74.2438542087996,20.66423980944677,2.92121702395398,2.993348115299334,19.27660753880266,8.706247230837395,8.4,10.9,13.0,42.4,7.0,25.0,13.9,24.3,18.7,26.3,17.2,12.2,31.9,19.9,43.7,4.0,0,0,0,8.988360073704552,0.0,8,8.988360073704552
01015,33.727215,-85.817974,116441,True,0.0,48,47,116162.0,54339.0,0.4519,17.447185826690312,70.46280194900226,21.697284826363184,4.077064788829394,1.7586646678450764,14.52800214798738,6.89822686422152,10.8,19.2,11.0,41.5,6.4,25.3,12.9,21.5,16.0,24.4,15.5,10.8,31.0,19.3,39.1,3.6,0,0,0,40.460735868872774,0.0,7,40.460735868872774
01033,34.724339,-87.681892,57227,True,0.0,77,73,57270.0,56149.0,0.4488,15.71154181945172,77.67592107560678,16.013619696176008,3.20761306093941,1.4613599243531332,20.1452763689504,3.401642432004822,7.9,18.0,10.2,38.6,6.1,25.8,12.1,18.7,13.6,22.0,14.2,9.7,26.9,18.9,37.4,3.4,0,0,0,127.46638728828357,0.0,6,127.46638728828357
01039,31.284146,-86.409203,37570,True,0.0,1,1,37542.0,48772.0,0.4908,18.43535240530606,82.46230888072026,12.26892547014011,1.995098822651963,1.874031280822883,20.325489643511343,5.480907443284795,10.3,16.3,10.9,39.6,6.6,26.0,12.8,20.5,15.7,24.3,14.8,10.6,29.7,20.0,38.1,3.7,0,0,0,2.6636833413243837,0.0,7,2.6636833413243837
01043,34.162652,-86.83269,87866,True,0.0,3,3,88284.0,58119.0,0.4425,12.872094603778717,90.80920665126185,1.086267047256581,4.594263966290607,1.2333204552884187,13.863710660049334,4.338968252043365,10.6,18.3,10.5,37.3,6.3,26.5,11.0,16.4,11.6,21.5,12.2,8.8,25.9,18.9,36.2,3.3,0,0,0,3.3981242354220473,0.0,4,3.3981242354220473
01045,31.383858,-85.63771,49326,True,0.0,11,11,49455.0,52813.0,0.4432,17.124658780709737,67.3056313820645,20.396319886765745,7.010413507228794,2.350515463917526,13.31958762886598,6.982167352537723,10.0,19.2,11.8,40.5,6.6,25.5,13.7,22.2,17.1,25.0,16.4,11.6,30.6,19.6,41.5,3.8,1,0,0,22.24244262460823,2.022040238600748,7,22.24244262460823
01049,34.452725,-85.817465,71608,True,0.0,3,3,71680.0,47920.0,0.4555,19.881417410714285,79.10853794642857,1.455078125,15.375279017857142,1.7049435578045933,14.904632152588556,3.916075208566804,14.6,14.1,15.4,40.0,7.3,27.2,13.3,23.7,17.7,26.8,16.2,11.7,32.6,20.1,38.6,3.9,0,0,0,4.185267857142857,0.0,7,4.185267857142857
01051,32.558527,-86.225332,87977,True,0.0,11,8,87694.0,73258.0,0.4189,9.106666362578968,72.44851415148129,20.78135334230392,3.123360777248158,2.3552075565498383,10.272184936614469,4.095201387550588,8.2,24.2,9.5,38.2,5.8,23.6,11.4,17.9,12.4,20.8,13.5,9.2,25.4,18.4,38.7,3.2,1,0,0,9.122630966770815,1.140328870846352,5,9.122630966770815
01069,31.204793,-85.39632,107202,True,0.0,16,16,107040.0,55064.0,0.4833,17.636397608370704,64.8542600896861,27.11696562032885,3.59118086696562,1.7836940038032882,14.683580868016271,4.969188138467265,11.7,22.5,10.8,39.8,6.3,25.8,13.1,21.5,16.6,23.6,16.4,11.1,27.7,19.5,40.5,3.7,0,0,0,14.947683109118087,0.0,7,14.947683109118087
01071,34.727289,-85.943552,52579,True,0.0,3,3,52618.0,46748.0,0.4574,18.396746360561025,88.75099775742142,3.2460374776692387,3.202326200159641,1.780358006773101,13.546202225447509,6.040515653775322,11.0,16.2,11.8,39.6,7.0,28.2,12.7,20.8,15.6,24.9,14.3,10.6,30.6,20.3,39.1,3.7,0,0,0,5.701470979512714,0.0,7,5.701470979512714
01073,33.517206,-86.811606,674721,True,0.0,398,320,672265.0,63595.0,0.5049,15.454322328248534,48.93174566577168,42.60566889545046,4.157586665972496,1.9582834826971265,10.283151613655688,5.38108835569258,9.0,35.6,9.3,40.0,5.7,23.2,13.5,20.8,15.2,20.3,16.0,10.5,27.4,17.5,37.6,3.6,49,0,1,47.60027667660818,7.288792366105628,7,47.60027667660818
01077,34.865524,-87.608858,93564,True,0.0,1,1,94329.0,56081.0,0.4618,12.920734874746897,83.39641043581507,9.749917840748868,2.9715145925431203,1.5665454925857154,15.618380103041556,3.612537630600319,9.5,25.8,9.5,35.9,5.9,25.2,11.0,16.1,11.7,20.2,12.3,8.8,25.8,18.6,36.7,3.2,2,0,0,1.0601193694409992,2.1202387388819983,4,1.0601193694409992
01083,34.803982,-86.922366,103570,True,0.0,4,4,104199.0,80146.0,0.4272,10.832157698250462,74.70513152717396,13.001084463382568,6.322517490570927,1.2262781292129006,9.333195063776833,4.137876102670304,8.2,29.5,9.6,37.3,5.6,24.2,10.9,15.4,9.9,19.3,12.1,8.2,24.5,17.1,39.0,3.0,0,0,0,3.838808433862129,0.0,4,3.838808433862129
01089,34.742996,-86.61533,388153,True,0.0,74,71,389781.0,78058.0,0.4695,10.375056762643638,63.45742865865704,24.2731174685272,5.287841121039763,1.165013254454186,7.057135157831408,4.20649623317278,7.8,45.1,8.3,36.2,5.2,22.0,10.9,13.7,9.3,17.3,11.4,7.8,22.2,16.0,40.1,2.9,7,0,1,18.2153568285781,1.795880250704883,4,18.2153568285781
