county_fips,lat,lon,pop,has_trial_site,dist_nearest_trial_km
12115,27.201139,-82.416033,434006,True,0.0
12117,28.699171,-81.310073,470856,True,0.0
12119,28.83348,-82.024754,129752,True,0.0
12127,29.072351,-81.126278,553543,True,0.0
12131,30.543793,-86.19019,75305,True,0.0
12133,30.649403,-85.62387,25318,True,0.0
13015,34.208535,-84.829148,108901,True,0.0
13031,32.415313,-81.762378,81099,True,0.0
13045,33.623974,-85.043815,119148,True,0.0
13051,32.043151,-81.136643,295291,True,0.0
13057,34.170504,-84.494745,266620,True,0.0
13063,33.551579,-84.361187,297595,True,0.0
13067,33.941801,-84.557976,766149,True,0.0
13073,33.514668,-82.175338,156010,True,0.0
13077,33.377998,-84.73346,146158,True,0.0
13081,31.949314,-83.778048,20128,True,0.0
13085,34.400246,-84.102212,26798,True,0.0
13087,30.889772,-84.569999,29367,True,0.0
13089,33.790223,-84.247613,764382,True,0.0
13095,31.574147,-84.171202,85790,True,0.0
13097,33.724594,-84.735518,144237,True,0.0
13103,32.287329,-81.299809,64769,True,0.0
13107,32.586625,-82.306411,22768,True,0.0
13111,34.902937,-84.312915,25319,True,0.0
13113,33.428121,-84.513188,119194,True,0.0
13115,34.256222,-85.183346,98584,True,0.0
13117,34.190488,-84.150182,251283,True,0.0
13121,33.832534,-84.396191,1066710,True,0.0
13123,34.675112,-84.486082,31353,True,0.0
13127,31.202596,-81.486211,84499,True,0.0
13129,34.498248,-84.907765,57544,True,0.0
13135,33.954137,-84.053177,957062,True,0.0
13139,34.26936,-83.847644,203136,True,0.0
13147,34.355547,-82.964995,25828,True,0.0
13151,33.470292,-84.174632,240712,True,0.0
13153,32.565757,-83.663692,163633,True,0.0
13171,33.084155,-84.154394,18500,True,0.0
13179,31.828772,-81.5777,65256,True,0.0
13185,30.860299,-83.281437,118251,True,0.0
13189,33.459579,-82.468712,21632,True,0.0
13215,32.495642,-84.928926,206922,True,0.0
13225,32.589118,-83.822766,27981,True,0.0
13237,33.319719,-83.335457,22047,True,0.0
13247,33.642136,-84.019225,93570,True,0.0
13275,30.86927,-83.947978,45798,True,0.0
13279,32.185481,-82.368674,27030,True,0.0
13291,34.87746,-84.004818,24632,True,0.0
13299,31.226953,-82.383829,36251,True,0.0
13303,32.964333,-82.775581,19988,True,0.0
13313,34.793647,-84.966305,102864,True,0.0
15003,21.371521,-157.917219,1016508,True,0.0
15007,22.019834,-159.438951,73298,True,0.0
15009,20.862853,-156.491993,164754,True,0.0
16001,43.612091,-116.313143,494967,True,0.0
16005,42.871117,-112.425092,87018,True,0.0
16011,43.223106,-112.346259,47992,True,0.0
16017,48.23649,-116.630197,47110,True,0.0
16019,43.494825,-111.994434,123964,True,0.0
