county_fips,places_access2,places_bphigh,places_chd,places_depression,places_diabetes,places_foodinsecu,places_foodstamp,places_ghlth,places_housinsecu,places_lacktrpt,places_lpa,places_mhlth,places_obesity,places_stroke
28045,10.4,35.9,5.9,21.1,10.8,15.8,8.4,19.6,12.8,9.0,29.0,18.0,37.0,3.2
28047,11.5,39.0,6.1,21.6,12.3,20.3,11.3,22.0,15.5,10.9,34.1,18.2,36.6,3.5
28049,11.4,45.7,6.1,17.6,15.3,28.3,18.1,25.0,22.9,14.8,34.2,17.9,44.6,4.4
28051,16.1,53.1,8.0,18.3,21.0,43.0,33.9,34.8,32.5,22.5,44.4,20.4,51.5,6.2
28053,16.8,52.4,8.3,19.5,20.6,43.6,34.8,36.0,32.1,23.0,46.2,20.8,53.0,6.2
28055,20.0,48.9,8.0,17.1,17.8,36.9,24.6,33.1,27.2,18.8,42.1,19.0,47.3,5.4
28057,10.9,37.2,6.0,21.8,10.8,16.1,8.3,20.1,12.5,9.1,31.1,18.4,37.0,3.3
28059,11.6,40.8,5.8,20.4,12.8,18.4,9.6,20.3,14.9,10.0,29.4,17.6,40.5,3.4
28061,13.0,44.3,6.7,19.3,15.2,28.2,18.1,26.1,21.7,14.5,38.1,19.1,45.2,4.4
28063,15.6,52.2,7.6,17.3,19.8,40.4,30.2,33.2,30.3,20.8,43.3,19.8,51.7,5.8
28065,13.6,47.1,7.1,19.3,16.8,33.1,23.1,28.7,25.2,17.1,38.8,19.7,45.8,5.0
28067,12.4,42.4,6.6,20.7,13.6,22.7,13.9,23.7,17.7,12.5,35.1,18.1,41.9,3.9
28069,13.2,46.0,6.8,18.2,15.8,29.7,19.1,27.1,23.0,15.6,36.6,18.7,45.6,4.6
28071,9.5,37.0,5.8,20.0,11.8,16.9,9.8,19.1,13.7,9.7,28.1,16.6,37.0,3.4
28073,9.7,38.0,5.7,21.7,11.2,16.3,9.0,19.2,13.4,9.3,28.7,16.8,38.5,3.2
28075,12.4,43.1,6.7,19.6,14.1,26.2,16.8,24.9,20.5,14.0,34.3,18.7,42.3,4.3
28077,14.4,44.4,7.4,21.8,15.2,28.7,19.4,28.4,20.9,15.0,39.0,20.2,46.1,4.6
28079,14.1,43.6,6.8,19.9,14.5,27.5,17.1,26.5,21.3,14.5,36.8,19.1,42.8,4.3
28081,10.5,41.3,5.7,20.5,12.3,18.6,9.8,20.7,14.7,10.0,31.2,17.3,36.3,3.4
28083,15.0,49.2,7.5,18.0,19.0,38.4,29.0,32.1,28.8,20.0,41.1,19.5,43.9,5.6
28085,11.5,40.6,6.4,20.6,13.1,21.9,13.4,23.2,17.2,11.9,33.4,18.6,40.1,3.9
28087,11.2,41.9,6.0,19.5,13.6,22.8,13.8,22.8,17.9,12.3,32.3,17.7,37.9,3.9
28089,8.4,37.1,4.9,18.2,10.8,14.6,7.7,16.9,12.8,8.6,25.6,15.4,36.0,3.0
28091,13.3,43.1,7.0,21.3,14.4,26.8,17.0,26.6,19.9,14.0,35.7,19.4,43.6,4.3
28093,14.9,44.9,7.1,20.1,15.7,29.7,19.4,28.2,22.6,15.5,36.9,19.5,42.1,4.6
28095,12.3,42.1,6.5,20.9,13.5,23.7,14.2,25.1,17.8,12.3,36.4,19.4,42.9,4.0
