stateabbr,year,diabetes_prevalence,diabetes_low_ci,diabetes_high_ci
AK,2023.0,8.991942806852137,7.764061057646636,10.300674136358015
AL,2023.0,12.746376131704624,11.045435546008827,14.581370630938844
AR,2023.0,11.515779061556465,9.916927096121965,13.193899219515995
AZ,2023.0,9.85332301126308,8.733816675244643,11.041057091706836
CA,2023.0,10.707798483357736,9.39861541746195,12.125747269190699
CO,2023.0,8.0165704109394,6.880899889897459,9.27032805152816
CT,2023.0,8.642542196607685,7.815714621362107,9.49167293785135
DC,2023.0,8.5,7.3,9.7
DE,2023.0,10.766372177883582,9.357008215115032,12.146525650281967
FL,2023.0,11.100460227857745,9.624471550365957,12.677895228400534
GA,2023.0,12.127335709623386,10.497505755224694,13.894690294357984
HI,2023.0,10.206108407612621,9.011167341932941,11.503112678215546
IA,2023.0,9.694684567129158,8.323140706743398,11.190115354708055
ID,2023.0,9.02534981006876,7.74284078098871,10.452872476265272
IL,2023.0,10.209867802933454,8.838996229950183,11.704094617655311
IN,2023.0,11.477603993975293,9.968518496401384,13.083104525260453
KS,2023.0,10.103719199771705,8.742270064806972,11.579080085602007
LA,2023.0,13.414296155820455,11.666146466662866,15.298227171619232
MA,2023.0,8.572097223159666,7.361904732456262,9.787463544230526
MD,2023.0,10.878887840348236,9.603958440432871,12.241088325702416
ME,2023.0,8.772530457760297,7.570458021924354,10.02352917578728
MI,2023.0,10.10108478489909,8.774580756685824,11.52740815232135
MN,2023.0,8.721503427668498,7.547368830292489,10.014595825404706
MO,2023.0,10.407912584933985,8.958051042726547,11.967763392307173
MS,2023.0,13.560649047907306,11.70731827225001,15.557841401075468
MT,2023.0,8.300623968273253,7.068171599077534,9.609321180925162
NC,2023.0,10.53038201087486,9.014702040318781,12.171660896486449
ND,2023.0,9.034276826125849,7.710255310484787,10.480545801679593
NE,2023.0,9.492680420013343,8.238176122175984,10.867004923930516
NH,2023.0,7.607959189707167,6.527120166538553,8.790225773127746
NJ,2023.0,9.404107683608013,8.18402608538832,10.762955647175605
NM,2023.0,11.41304719595147,9.822515008803242,13.117304921636729
NV,2023.0,10.599337219223193,9.145552662844565,12.168983821195907
NY,2023.0,9.925143332000111,8.688884730222478,11.277263987104732
OH,2023.0,11.316521293472265,9.836722753535879,12.928738930030264
OK,2023.0,11.559018656608849,10.052897253416264,13.155901447808818
OR,2023.0,9.589984118901858,8.247220425644004,11.025403171751046
RI,2023.0,9.661143406073595,8.393846819500428,11.004730508314987
SC,2023.0,11.78653995385584,10.278620895768006,13.43062176871456
SD,2023.0,10.11327793868831,8.668064437498208,11.682026612371311
TN,2023.0,11.934077689807031,10.259933787648533,13.721224221128304
TX,2023.0,12.268151950562952,10.691034648633131,13.959143272821994
UT,2023.0,8.83309671405492,7.696940813384303,10.06549612771887
VA,2023.0,11.015087105148643,9.484118575613016,12.634703198084212
VT,2023.0,7.008310561757265,5.9584374319667885,8.185778712830407
WA,2023.0,8.559877530694378,7.520996981253274,9.607747716474636
WI,2023.0,9.64153943111562,8.347116215834738,11.054023916808564
WV,2023.0,12.8579161961803,11.034117708460434,14.810799451849583
WY,2023.0,9.295633300183933,7.950989201510204,10.777471023612348
