,poverty_rate,median_income,gini,uninsured_pct,pct_bachelors_plus,pct_black,pct_hispanic,pct_no_vehicle,pct_no_internet,unemployment_rate,pct_rural,medicaid_expanded,places_access2,places_lacktrpt,places_foodinsecu,places_housinsecu,places_foodstamp,places_bphigh,places_obesity,places_depression,places_mhlth,places_ghlth,places_lpa,places_loneliness,coverage_residual
poverty_rate,1.0,-0.723195023951259,0.5508229222004736,0.3517247780083283,-0.4880009511578929,0.47116259207142847,0.06872076930101133,0.12796327677878497,0.8632284279340214,0.3086908002025637,-0.2165694679339056,-0.24493307813236434,0.366023079589443,0.8491454929495375,0.79826894594203,0.7545214447838445,0.6603748957719543,0.7561783163764145,0.49196627604061594,0.19398399703392857,0.49903827936617784,0.8041246426519827,0.6616654012213825,0.49266667233580147,0.1431412851007824
median_income,-0.723195023951259,1.0,-0.033034348244265904,-0.4541428302496606,0.8255840188369604,-0.04895648562939019,0.19541330232967724,0.3970169290894883,-0.8123669282118579,0.2952985247238691,-0.31923419659749924,0.32414518432187517,-0.3568496375260114,-0.5471119927323428,-0.44413483076415217,-0.3685881284250582,-0.3207401481529628,-0.6485695983359513,-0.7613591852579109,-0.4142240666070275,-0.6510072649535028,-0.6825985852041303,-0.6641291996803571,-0.015799990336286346,-0.10305875858222421
gini,0.5508229222004736,-0.033034348244265904,1.0,-0.01784562662833658,0.2285269810239093,0.6029885221961254,0.2570549851400109,0.6006469296408169,0.32773004519232685,0.6514658653278889,-0.45239134432709927,-0.10387420950688807,0.17476876228315735,0.4828593170282161,0.5003938017959472,0.5864891041491476,0.5386737834367565,0.3089235161184078,-0.1428685829493368,-0.17113720382486486,0.08023764240332198,0.31268338719574246,0.2704993149139747,0.5761996426250023,0.08175475371487852
uninsured_pct,0.3517247780083283,-0.4541428302496606,-0.01784562662833658,1.0,-0.4901577053796168,0.10484890223218543,0.3099992761777351,-0.3856928723667745,0.26907174764482444,-0.07796375313980461,-0.21813516666083949,-0.5141071364935139,0.8415665403424882,0.5065215769331021,0.4037401613301173,0.4015189676813306,0.047836554792496024,0.38640141926874283,0.3705160781784985,-0.118743699134737,0.19051341773419117,0.5372882592463282,0.43332512178400984,0.07884187401741179,-0.1145364253764719
pct_bachelors_plus,-0.4880009511578929,0.8255840188369604,0.2285269810239093,-0.4901577053796168,1.0,0.17365269328486,0.10909725291738062,0.604934518692464,-0.6153330602690574,0.3107583287788091,-0.2174954738622092,0.24850244647447303,-0.37532740083032406,-0.4879386235348978,-0.4385835758605978,-0.33540228194919586,-0.23744316491172174,-0.5618052885913759,-0.7477147443790335,-0.2582754614341247,-0.6240679016673997,-0.7313573989533109,-0.709091166352614,0.0008226735144128679,0.05152576677017302
pct_black,0.47116259207142847,-0.04895648562939019,0.6029885221961254,0.10484890223218543,0.17365269328486,1.0,-0.1262658868521235,0.4189012531338388,0.3485844245228815,0.49697849689012913,-0.43663262028748456,-0.31782804271115467,0.09542367482442407,0.4136101661756355,0.4555862620602435,0.4867810231410076,0.29858497291810476,0.6206614140233542,0.1809926664753317,-0.21325667577253798,-0.024795022952812024,0.26630122543910506,0.3095325934957652,0.5381865012233622,0.1259212007817976
pct_hispanic,0.06872076930101133,0.19541330232967724,0.2570549851400109,0.3099992761777351,0.10909725291738062,-0.1262658868521235,1.0,0.050106292067693674,-0.20952713650305405,0.39125036920177564,-0.6439559403506757,-0.009505490471020974,0.6505920116903806,0.2612789187379809,0.3215932754208061,0.4037176094267456,0.24102526537854171,-0.2767875173817606,-0.37556957748630354,-0.3992088883988209,-0.2285584089415064,0.21575900810859355,-0.038339577188066444,0.24514300941103143,-0.04959720743431075
pct_no_vehicle,0.12796327677878497,0.3970169290894883,0.6006469296408169,-0.3856928723667745,0.604934518692464,0.4189012531338388,0.050106292067693674,1.0,-0.06803463926994047,0.6144179912492436,-0.3308987077797836,0.1954998339596755,-0.30126579132931747,-0.016870780805085892,0.02664713807870681,0.10934686211809537,0.19207104162426572,-0.09147692943955714,-0.4215255031047847,-0.2476144423782267,-0.3190284252741531,-0.22460433031949661,-0.2114289143982446,0.2941054507871576,0.0714063221436734
pct_no_internet,0.8632284279340214,-0.8123669282118579,0.32773004519232685,0.26907174764482444,-0.6153330602690574,0.3485844245228815,-0.20952713650305405,-0.06803463926994047,1.0,0.017186810339793357,0.04813763244469291,-0.2643760015406368,0.20483902261546663,0.7289849753227984,0.6640876040948107,0.5892120826104269,0.5084815389016276,0.7941830215525632,0.6937444458294785,0.24811603462677823,0.5343198361404708,0.7312045015475129,0.7461542305844696,0.286308601576925,0.09373718411575498
unemployment_rate,0.3086908002025637,0.2952985247238691,0.6514658653278889,-0.07796375313980461,0.3107583287788091,0.49697849689012913,0.39125036920177564,0.6144179912492436,0.017186810339793357,1.0,-0.6564831385143561,0.13063371436627597,0.12573237520004604,0.4703189663320195,0.4842085393003209,0.6002084693493043,0.5152043346869573,0.15015130493097578,-0.31884138085784514,-0.2543858073204197,0.0015469288834960284,0.23423081866972867,0.06651630579612652,0.7024145884763284,-0.08813993597431409
pct_rural,-0.2165694679339056,-0.31923419659749924,-0.45239134432709927,-0.21813516666083949,-0.2174954738622092,-0.43663262028748456,-0.6439559403506757,-0.3308987077797836,0.04813763244469291,-0.6564831385143561,1.0,0.08766437159220582,-0.3845997439149984,-0.4412230539814282,-0.5950567189984878,-0.5846213130217007,-0.37513518400256485,-0.07711044701092201,0.3315511725579389,0.6003037409754244,0.2938622350728809,-0.2920750330173384,-0.09078850739746083,-0.5207403648606078,-0.07363533345083706
medicaid_expanded,-0.24493307813236434,0.32414518432187517,-0.10387420950688807,-0.5141071364935139,0.24850244647447303,-0.31782804271115467,-0.009505490471020974,0.1954998339596755,-0.2643760015406368,0.13063371436627597,0.08766437159220582,1.0,-0.4683389724588769,-0.2217685696590463,-0.2541059501965979,-0.2218892350205132,-0.031596901597720654,-0.354121767505656,-0.3097785260346185,0.13934146835708797,-0.08338662586781702,-0.2979464209711095,-0.37461362712277824,-0.10820322746988953,0.14375704637825487
