county_fips,county_site_count,county_trial_count
34023,36,28
34025,14,14
34027,11,11
34029,58,54
34031,11,11
34033,3,3
34035,35,29
34039,48,44
34041,3,3
35001,190,168
35013,1,1
35028,1,1
35045,2,2
35049,4,4
36001,133,125
36007,44,40
36009,2,2
36013,29,29
36019,1,1
36021,2,2
36027,9,9
36029,189,180
36047,392,317
36055,85,84
36059,182,143
36063,3,3
36065,9,9
36067,97,95
36071,39,39
36075,3,3
36077,7,7
36083,3,3
36087,3,3
36091,9,9
36093,1,1
36103,89,77
36109,1,1
36111,10,10
36113,2,2
36119,30,30
36123,1,1
37001,44,42
37005,6,6
37019,24,24
37021,79,78
37023,33,33
37025,9,8
37027,23,23
37035,68,66
37045,36,36
37047,22,22
37049,19,19
37051,23,23
37057,5,5
37063,134,130
37067,190,183
37071,3,3
37081,188,170
37089,1,1
37097,98,96
37101,6,5
37105,3,3
37107,3,3
37119,251,206
37125,11,11
37127,17,16
37129,143,143
37133,4,4
37135,100,100
37147,115,112
37151,34,34
37159,58,58
37173,1,1
37177,1,1
37179,14,14
37183,101,90
37189,1,1
37191,1,1
37195,5,5
38015,15,13
38017,108,105
38035,6,6
38093,1,1
38101,1,1
39003,3,3
39009,12,12
39017,2,2
39023,8,8
39027,1,1
39035,231,192
39041,24,24
39043,3,3
39045,2,2
39049,244,212
39053,20,20
39057,11,10
39061,365,295
39063,2,2
39067,3,3
39085,63,62
39089,9,9
39093,8,7
39095,111,96
39097,3,3
39099,11,9
39101,55,53
39103,24,24
39113,216,165
39119,35,35
39123,2,2
39127,6,6
39129,1,1
39133,2,2
39139,1,1
39147,1,1
39149,1,1
39151,71,63
39153,76,72
39165,100,83
39167,1,1
39169,3,3
39171,1,1
39173,27,27
40017,19,19
40027,101,96
40039,9,9
40049,2,2
40083,1,1
40109,14,14
40119,2,2
40123,1,1
40143,91,82
40147,1,1
41003,42,42
41005,1,1
41017,26,26
41019,2,2
41021,1,1
41029,92,89
41033,2,2
41039,74,73
41047,3,3
41051,209,179
41067,7,7
42003,238,216
42005,1,1
42007,92,91
42011,61,59
42013,109,94
42015,8,8
42017,92,70
42019,4,4
42021,9,7
42027,6,6
42029,31,28
42031,1,1
42039,1,1
42041,52,50
42043,27,27
42045,10,9
42049,15,15
42051,80,71
42055,7,6
42059,10,10
42063,11,10
42069,8,8
42071,15,14
42077,8,8
42079,14,13
42081,17,17
42085,5,5
42087,1,1
42091,128,108
42093,18,17
42095,18,18
42099,9,8
42101,327,273
42121,1,1
42125,11,11
42129,12,11
42133,4,4
44003,15,15
44007,98,83
45003,10,10
45007,58,53
45013,2,2
45015,16,16
45019,123,112
45021,11,11
45023,4,4
45027,6,6
45031,1,1
45035,29,27
45041,5,5
45043,31,31
45045,387,305
45047,11,11
45049,6,6
45051,62,59
45057,3,3
45059,11,11
45063,3,3
45069,1,1
45071,5,5
45073,1,1
45075,32,29
45077,5,5
45079,97,91
45083,72,65
45085,11,11
45087,4,4
45091,10,10
46029,3,3
46041,1,1
46099,11,11
46127,11,10
46135,1,1
47001,3,3
47009,3,3
47011,4,4
47013,1,1
47017,9,9
47019,3,3
47023,1,1
47025,10,10
47031,23,23
47035,9,9
47045,2,2
47053,26,26
47059,2,2
47063,18,17
47065,182,153
47077,2,2
47093,115,107
47103,11,11
47107,6,6
47109,2,2
47113,31,28
47119,12,12
47125,12,12
47141,5,5
47145,2,2
47149,3,3
47155,1,1
47157,232,187
47163,223,194
47165,1,1
47177,1,1
47187,10,10
48001,2,2
48005,12,11
48015,4,4
48021,1,1
48027,45,45
48029,1131,785
48037,8,8
48039,47,45
48041,16,16
48061,16,14
48085,98,88
48091,35,35
48113,1065,642
48121,71,65
48135,31,31
48139,4,4
48141,87,80
48143,6,6
48157,128,108
48167,15,14
48177,2,2
48181,9,7
48183,21,21
48187,41,41
48201,1079,539
48203,5,5
48209,6,6
48215,84,75
48217,1,1
48227,1,1
48231,5,5
48245,31,26
48249,1,1
48251,7,7
48257,4,4
48259,1,1
48265,12,12
48273,4,4
48277,2,2
48281,18,18
48303,29,28
48309,41,40
48313,1,1
48329,75,75
48339,20,19
48343,1,1
48349,1,1
48355,142,132
48363,1,1
48367,2,2
48375,41,41
48397,1,1
48423,6,6
48427,40,39
48439,359,238
48441,8,8
48451,4,4
48453,306,254
48469,11,11
48471,2,2
48473,54,54
