stateabbr,pct_rural
PA,73.47256339068039
CA,34.6869079068121
WV,89.13529232052343
UT,75.355879174084
NY,52.46659253593676
DC,37.9628595668158
AK,57.50793233077581
FL,51.538706577299195
SC,62.10019683789447
ND,81.65381840958857
ME,90.15714653773344
GA,50.0578981820979
AL,63.120519381984955
NH,87.15961696632158
OR,71.65387222296694
WY,81.41859856358055
AZ,53.36706890384705
LA,55.75005308349061
IN,75.46949920477817
ID,78.8710928026987
CT,63.20763716796489
HI,21.601818492913004
IL,58.323873827044636
MA,67.55267523073174
TX,39.74745676906267
MT,83.13016209735065
NE,75.69125528166141
OH,75.88604992369135
CO,65.13420997299139
NJ,51.8504048985283
MD,47.169764282467334
VA,58.60424846835267
VT,89.13411613228276
NC,60.464732223766376
AR,68.5217849832842
WA,63.83699698946735
KS,72.2485261481068
OK,60.797509087974724
WI,78.62639508710801
MS,55.35030640476632
MO,75.77535214551368
MI,72.39665939324608
RI,68.7137260691156
MN,76.29693468529013
IA,82.6926603160951
NM,36.50266679637803
NV,45.930089859802216
DE,58.57388468889275
KY,81.33371920327326
SD,79.5770001590225
TN,70.90666257647406
